Incident ID,Date Reported,Incident Type,Priority,Department,Status,Resolution Time (days)
INC0001,2023-11-24,Hardware Failure,Low,Sales,Closed,11
INC0002,2024-03-22,Security Breach,High,Operations,In Progress,10
INC0003,2022-07-23,Security Breach,Low,Sales,Resolved,19
INC0004,2025-03-02,Data Loss,High,Operations,Resolved,15
INC0005,2022-04-26,Hardware Failure,High,IT,In Progress,18
INC0006,2024-08-16,Security Breach,Medium,Customer Service,Resolved,16
INC0007,2022-08-02,Hardware Failure,Critical,HR,Closed,16
INC0008,2023-05-17,Data Loss,Medium,IT,Open,25
INC0009,2023-10-29,User Error,High,Operations,Closed,19
INC0010,2023-08-08,Security Breach,Medium,HR,Open,12
INC0011,2022-05-02,Network Issue,Critical,IT,In Progress,14
INC0012,2023-09-10,User Error,Low,Finance,Closed,3
INC0013,2023-12-20,Data Loss,Low,HR,Open,8
INC0014,2023-07-28,Security Breach,High,HR,Open,14
INC0015,2023-02-16,Security Breach,Critical,Operations,Open,26
INC0016,2024-11-04,Security Breach,Medium,Sales,Closed,16
INC0017,2024-07-03,Software Bug,High,IT,Open,5
INC0018,2022-08-21,Software Bug,Critical,Finance,Closed,17
INC0019,2024-04-05,Network Issue,High,Sales,Resolved,14
INC0020,2023-06-03,Data Loss,Critical,IT,Open,12
INC0021,2023-10-31,Data Loss,Critical,Sales,Resolved,15
INC0022,2023-08-22,Security Breach,Medium,IT,Resolved,1
INC0023,2025-04-04,Hardware Failure,High,Sales,Closed,11
INC0024,2023-02-18,Hardware Failure,Medium,Finance,In Progress,4
INC0025,2024-09-11,Hardware Failure,High,Customer Service,Open,23
INC0026,2025-01-17,Network Issue,Low,IT,Open,9
INC0027,2022-10-12,Security Breach,High,Finance,In Progress,28
INC0028,2024-06-09,Security Breach,Medium,Operations,Closed,27
INC0029,2022-08-27,Data Loss,Medium,IT,Open,17
INC0030,2023-06-26,Hardware Failure,Critical,Sales,Resolved,10
INC0031,2024-12-01,Hardware Failure,Medium,IT,Resolved,29
INC0032,2025-01-11,Data Loss,Low,Operations,In Progress,30
INC0033,2024-03-01,Hardware Failure,Medium,Sales,Resolved,3
INC0034,2023-03-26,Software Bug,Low,Finance,Resolved,9
INC0035,2023-02-04,Security Breach,Medium,Customer Service,Open,27
INC0036,2025-01-02,Software Bug,Medium,Operations,Resolved,13
INC0037,2025-02-03,Security Breach,Low,Operations,In Progress,6
INC0038,2024-10-07,Data Loss,Low,HR,Open,14
INC0039,2023-04-10,User Error,High,HR,Open,28
INC0040,2023-05-15,Security Breach,Medium,IT,In Progress,4
INC0041,2022-05-20,Network Issue,Medium,HR,Resolved,15
INC0042,2024-09-20,Security Breach,Medium,Sales,Open,26
INC0043,2023-10-04,Software Bug,Low,IT,Resolved,1
INC0044,2024-11-25,Software Bug,High,Operations,Resolved,14
INC0045,2022-07-31,Network Issue,Critical,IT,Resolved,5
INC0046,2022-05-29,Hardware Failure,High,Customer Service,In Progress,22
INC0047,2023-10-18,Network Issue,High,HR,Closed,22
INC0048,2022-05-27,Data Loss,Low,Finance,Open,6
INC0049,2022-09-10,Security Breach,Medium,Finance,Closed,11
INC0050,2022-10-06,Software Bug,High,Customer Service,Closed,26
INC0051,2024-02-24,Software Bug,Critical,HR,Closed,1
INC0052,2024-12-04,Hardware Failure,High,Finance,Closed,12
INC0053,2022-05-19,User Error,Low,Finance,Resolved,26
INC0054,2024-03-12,Software Bug,Medium,HR,In Progress,15
INC0055,2022-09-20,Security Breach,Medium,Sales,Closed,17
INC0056,2022-06-07,Data Loss,Critical,Customer Service,Open,27
INC0057,2024-10-24,Network Issue,Medium,Sales,Open,25
INC0058,2022-07-29,Hardware Failure,Medium,Finance,In Progress,24
INC0059,2022-07-20,Security Breach,High,Operations,In Progress,22
INC0060,2022-05-27,Network Issue,Critical,Finance,Closed,14
INC0061,2024-11-10,User Error,High,Sales,Closed,3
INC0062,2024-04-16,Security Breach,High,Sales,Resolved,10
INC0063,2023-11-22,Software Bug,Medium,HR,In Progress,26
INC0064,2022-05-23,Software Bug,Medium,Customer Service,In Progress,2
INC0065,2023-08-22,Data Loss,Critical,Sales,In Progress,12
INC0066,2023-10-31,User Error,High,Finance,In Progress,14
INC0067,2022-08-26,Software Bug,Critical,Operations,Closed,2
INC0068,2023-08-11,Security Breach,Low,Sales,Resolved,22
INC0069,2022-07-23,Software Bug,Critical,Customer Service,Resolved,11
INC0070,2024-11-05,Software Bug,High,Customer Service,Resolved,5
INC0071,2024-11-30,Software Bug,Medium,Operations,Open,18
INC0072,2023-05-02,Network Issue,High,HR,Resolved,7
INC0073,2025-02-14,Network Issue,Critical,Customer Service,Open,16
INC0074,2023-01-31,Software Bug,Low,Operations,In Progress,9
INC0075,2022-10-01,Security Breach,High,Finance,Closed,23
INC0076,2022-05-05,Network Issue,Low,Sales,Closed,22
INC0077,2024-08-03,Security Breach,Critical,Operations,In Progress,22
INC0078,2024-07-15,Software Bug,Low,Customer Service,In Progress,4
INC0079,2022-09-02,User Error,Medium,Operations,In Progress,2
INC0080,2023-09-10,Security Breach,Medium,Sales,In Progress,26
INC0081,2025-01-30,Security Breach,Critical,Customer Service,In Progress,8
INC0082,2024-11-17,Security Breach,Low,IT,In Progress,24
INC0083,2024-12-18,Network Issue,Low,HR,Closed,1
INC0084,2025-01-25,Network Issue,Medium,IT,Open,20
INC0085,2024-03-10,Security Breach,High,HR,Open,1
INC0086,2024-12-01,Hardware Failure,Low,Customer Service,In Progress,2
INC0087,2023-11-06,Network Issue,Medium,Operations,Closed,3
INC0088,2022-10-19,Software Bug,Critical,Finance,In Progress,29
INC0089,2022-10-01,Software Bug,High,HR,Open,11
INC0090,2022-07-21,User Error,High,HR,Closed,19
INC0091,2022-11-09,Network Issue,Low,IT,Open,18
INC0092,2024-12-20,Network Issue,Critical,HR,Resolved,20
INC0093,2024-01-13,Network Issue,Medium,IT,Closed,30
INC0094,2024-07-16,Hardware Failure,Medium,Customer Service,In Progress,8
INC0095,2025-03-04,Hardware Failure,Medium,Operations,In Progress,28
INC0096,2025-03-13,Hardware Failure,Critical,Finance,Resolved,17
INC0097,2024-07-11,Network Issue,High,Sales,Resolved,25
INC0098,2025-01-30,Data Loss,Medium,HR,Closed,23
INC0099,2022-07-27,Software Bug,High,Customer Service,In Progress,7
INC0100,2023-11-07,Network Issue,Critical,Finance,Closed,21
INC0101,2022-08-10,Hardware Failure,Low,HR,In Progress,23
INC0102,2022-06-11,Software Bug,High,IT,Open,19
INC0103,2022-11-17,Data Loss,Medium,Sales,In Progress,19
INC0104,2023-01-23,Software Bug,High,Customer Service,Open,13
INC0105,2023-02-11,Security Breach,High,Finance,Closed,8
INC0106,2022-11-04,Network Issue,Medium,Sales,Closed,20
INC0107,2022-11-11,Network Issue,Low,IT,In Progress,14
INC0108,2025-03-19,Security Breach,Critical,IT,In Progress,17
INC0109,2024-10-09,Hardware Failure,Medium,IT,Resolved,7
INC0110,2022-12-30,Data Loss,Critical,Customer Service,Closed,7
INC0111,2022-07-27,Security Breach,Medium,Finance,Closed,3
INC0112,2024-09-25,Software Bug,Low,Sales,In Progress,21
INC0113,2023-04-06,Security Breach,High,HR,In Progress,27
INC0114,2024-06-11,Security Breach,Medium,HR,Closed,25
INC0115,2024-02-02,Data Loss,Low,IT,Open,3
INC0116,2023-03-18,Security Breach,Critical,HR,In Progress,1
INC0117,2023-10-20,User Error,Critical,Sales,Open,23
INC0118,2025-01-17,Network Issue,High,Finance,Open,9
INC0119,2022-07-21,Network Issue,Critical,Finance,In Progress,28
